country,age,sex,married,size,type
Japanese,23,Male,Married,Small,Family
Japanese,27,Female,Married,Small,Sporty
Japanese,33,Male,Married,Medium,Family
American,24,Male,Married,Medium,Family
Japanese,22,Male,Single,Small,Sporty
Japanese,28,Female,Single,Small,Family
Japanese,32,Male,Married,Medium,Family
American,24,Male,Single,Medium,Family
American,29,Male,Married,Small,Family
Japanese,32,Male,Married,Small,Sporty
American,30,Male,Married,Small,Sporty
Japanese,35,Female,Married,Small,Family
Japanese,32,Female,Single,Small,Sporty
American,32,Male,Married,Medium,Family
American,40,Male,Married,Small,Family
Japanese,30,Male,Single,Small,Work
American,29,Male,Single,Large,Family
American,32,Female,Married,Medium,Family
Japanese,35,Female,Married,Small,Family
Japanese,25,Female,Single,Medium,Family
Japanese,25,Male,Single,Medium,Family
Japanese,23,Female,Single,Small,Sporty
Japanese,22,Female,Single,Small,Sporty
Japanese,25,Male,Married,Small,Sporty
Japanese,30,Male,Single,Small,Family
American,29,Female,Married,Medium,Family
American,32,Female,Married,Small,Family
American,18,Female,Single,Medium,Sporty
Japanese,25,Female,Married,Small,Sporty
American,21,Male,Married,Medium,Sporty
American,37,Female,Married,Large,Family
American,38,Male,Married,Medium,Family
Japanese,32,Male,Single,Small,Sporty
American,34,Male,Single,Large,Family
American,35,Male,Married,Medium,Work
Japanese,34,Male,Married,Small,Family
American,46,Male,Single,Large,Family
Japanese,37,Male,Married,Medium,Family
American,37,Male,Single,Large,Sporty
American,54,Male,Single,Medium,Family
American,36,Male,Single,Medium,Sporty
Japanese,32,Female,Married,Medium,Family
American,37,Female,Married,Medium,Work
American,25,Female,Married,Medium,Sporty
Japanese,35,Male,Single,Small,Work
American,24,Female,Single,Small,Sporty
American,37,Female,Married,Small,Work
American,30,Male,Married,Large,Family
Japanese,28,Female,Single,Medium,Sporty
Japanese,27,Female,Married,Small,Sporty
Japanese,26,Female,Married,Small,Work
American,51,Female,Married,Large,Family
Japanese,34,Male,Married,Medium,Sporty
American,32,Male,Married,Large,Family
Japanese,27,Female,Married,Medium,Family
Japanese,33,Female,Single,Small,Family
American,26,Female,Married,Large,Family
Japanese,23,Male,Married,Small,Sporty
Japanese,28,Male,Married,Medium,Family
Japanese,30,Male,Single,Small,Sporty
American,21,Female,Married,Large,Family
Japanese,32,Female,Married,Small,Work
Japanese,30,Female,Married,Medium,Family
Japanese,25,Female,Married,Small,Sporty
Japanese,25,Female,Married,Medium,Work
American,40,Female,Married,Medium,Family
Japanese,46,Female,Single,Small,Family
Japanese,34,Female,Single,Small,Family
American,37,Female,Married,Medium,Family
Japanese,33,Male,Married,Small,Sporty
American,27,Female,Married,Small,Work
Japanese,25,Female,Married,Small,Work
Japanese,35,Female,Married,Medium,Family
Japanese,34,Male,Married,Small,Family
American,29,Male,Single,Large,Family
American,29,Male,Married,Medium,Work
Japanese,26,Male,Married,Small,Family
Japanese,31,Male,Married,Small,Sporty
Japanese,32,Male,Married,Medium,Sporty
Japanese,29,Male,Married,Medium,Family
